bf,HR,BV,UB
,9077,0.76,
,9078,0.5,0.01
,9079,1.01,0.8
,9080,-0.07,-0.33
Tau Phe,9081,0.91,
,9083,0.97,
,9082,1.6,1.93
Theta Oct,9084,1.27,1.41
,9085,0.41,0.39
,9086,-0.03,-0.25
29 Psc,9087,-0.12,-0.51
30 Psc,9089,1.63,1.83
,9090,1.8,0.55
85 Peg,9088,0.67,0.05
Zeta Scl,9091,-0.15,-0.55
31 Psc,9092,0.18,0.14
32 Psc,9093,0.29,0.03
,9094,1.09,0.91
,9095,0.53,0.08
,9096,1.18,
,9097,0.33,-0.54
2 Cet,9098,-0.05,-0.12
,9099,1.67,1.94
9 Cas,9100,0.3,0.29
,9101,1.1,1.05
,9102,0,-0.05
3 Cet,9103,1.63,1.92
,9106,0.44,0.01
,9105,,
,9108,-0.12,-0.42
,9104,1.07,0.93
,9107,0.62,0.09
,9109,1.4,1.59
,2,1.1,1.02
,9110,-0.09,-0.32
,1,0.07,0.08
33 Psc,3,1.04,0.89
86 Peg,4,0.9,
,5,0.67,0.2
,6,0.52,0.05
10 Cas,7,-0.03,-0.19
,8,0.75,0.33
,9,0.38,0.05
,10,0.14,0.1
,11,-0.14,-0.47
,12,0.14,0.06
,13,1.12,
,14,1.38,1.14
,16,1.04,0.83
21 Alpha And,15,-0.11,-0.46
,18,1.67,1.97
,17,0.48,-0.09
,19,0.97,0.73
87 Peg,22,1.04,
,23,0.74,0.39
11 Beta Cas,21,0.34,0.11
,20,0.19,0.1
Kappa1 Scl,24,0.42,0.08
Epsilon Phe,25,1.03,0.84
Gamma3 Oct,30,1.05,0.92
34 Psc,26,-0.07,-0.24
,29,0.98,0.74
22 And,27,0.4,0.25
,28,-0.08,-0.41
,32,0.37,0.06
,31,1.01,0.8
6 Cet,33,0.49,-0.03
Kappa2 Scl,34,1.34,1.46
Theta Scl,35,0.44,
,36,1.45,
,37,1.48,1.63
,38,-0.13,-0.7
88 Gamma Peg,39,-0.23,-0.87
,47,1.72,2.1
,40,0.65,0.33
23 And,41,0.31,-0.02
,42,1.55,
,43,1.48,1.65
,44,-0.01,-0.05
,46,1.62,1.81
89 Chi Peg,45,1.57,1.93
7 Cet,48,1.66,1.99
,51,-0.08,
,49,-0.01,0.12
